Wert1,Wert2,Wert3,Wert4,Wert5
"1318,139","1,57E-02","0,000026","3,939042E+00","6,540310E-03"
"1319,137","1,57E-02","0,000026","3,942315E+00","6,540260E-03"
"1320,155","1,57E-02","0,000026","3,937719E+00","6,540330E-03"
"1321,167","1,56E-02","0,000026","3,918354E+00","6,540627E-03"
"1322,167","1,56E-02","0,000026","3,919446E+00","6,540610E-03"
"1323,167","1,56E-02","0,000026","3,917504E+00","6,540640E-03"
"1324,168","1,56E-02","0,000026","3,913882E+00","6,540696E-03"
"1325,177","1,55E-02","0,000025","3,897596E+00","6,289374E-03"
"1326,187","1,54E-02","0,000025","3,877515E+00","6,289677E-03"
"1327,207","1,53E-02","0,000025","3,853407E+00","6,290044E-03"
"1328,221","1,53E-02","0,000025","3,850329E+00","6,290092E-03"
"1329,239","1,52E-02","0,000025","3,830154E+00","6,290403E-03"
"1330,251","1,52E-02","0,000025","3,830789E+00","6,290393E-03"
"1331,265","1,53E-02","0,000025","3,842544E+00","6,290211E-03"
"1332,275","1,52E-02","0,000025","3,819209E+00","6,290574E-03"
"1333,289","1,51E-02","0,000025","3,811584E+00","6,290693E-03"
"1334,293","1,51E-02","0,000025","3,795733E+00","6,290943E-03"
"1335,335","1,51E-02","0,000025","3,807588E+00","6,290756E-03"
"1336,345","1,51E-02","0,000025","3,794410E+00","6,290964E-03"
"1337,355","1,51E-02","0,000025","3,792398E+00","6,290995E-03"
"1338,357","1,50E-02","0,000025","3,784414E+00","6,291122E-03"
"1339,375","1,49E-02","0,000025","3,761971E+00","6,291481E-03"
"1340,391","1,49E-02","0,000025","3,745764E+00","6,291744E-03"
"1341,411","1,49E-02","0,000025","3,745291E+00","6,291751E-03"
"1342,417","1,49E-02","0,000025","3,741878E+00","6,291807E-03"
"1343,417","1,49E-02","0,000025","3,741240E+00","6,291817E-03"
"1344,419","1,48E-02","0,000025","3,734356E+00","6,291929E-03"
"1345,421","1,48E-02","0,000025","3,718914E+00","6,292183E-03"
"1346,431","1,48E-02","0,000025","3,725893E+00","6,292068E-03"
"1347,433","1,47E-02","0,000025","3,710694E+00","6,292319E-03"
"1348,437","1,47E-02","0,000025","3,709749E+00","6,292334E-03"
"1349,449","1,47E-02","0,000025","3,693844E+00","6,292599E-03"
"1350,471","1,47E-02","0,000025","3,689601E+00","6,292670E-03"
"1351,483","1,46E-02","0,000025","3,664090E+00","6,293100E-03"
"1352,481","1,46E-02","0,000025","3,664715E+00","6,293090E-03"
"1353,493","1,45E-02","0,000025","3,658304E+00","6,293199E-03"
"1354,495","1,45E-02","0,000025","3,655306E+00","6,293250E-03"
"1355,507","1,44E-02","0,000024","3,633732E+00","6,041875E-03"
"1356,512","1,45E-02","0,000024","3,642494E+00","6,041730E-03"
"1357,529","1,44E-02","0,000024","3,630325E+00","6,041932E-03"
"1358,545","1,44E-02","0,000024","3,627845E+00","6,041973E-03"
"1359,565","1,44E-02","0,000024","3,621409E+00","6,042080E-03"
"1360,571","1,44E-02","0,000024","3,616818E+00","6,042157E-03"
"1361,571","1,43E-02","0,000024","3,594424E+00","6,042534E-03"
"1362,577","1,42E-02","0,000024","3,576846E+00","6,042834E-03"
"1363,591","1,42E-02","0,000024","3,566375E+00","6,043014E-03"
"1364,598","1,41E-02","0,000024","3,554296E+00","6,043222E-03"
"1365,61","1,41E-02","0,000024","3,549363E+00","6,043308E-03"
"1366,62","1,41E-02","0,000024","3,550118E+00","6,043295E-03"
"1367,634","1,40E-02","0,000024","3,536604E+00","6,043531E-03"
"1368,635","1,40E-02","0,000024","3,519966E+00","6,043823E-03"
"1369,648","1,40E-02","0,000024","3,520706E+00","6,043810E-03"
"1370,654","1,40E-02","0,000024","3,524365E+00","6,043746E-03"
"1371,664","1,40E-02","0,000024","3,516022E+00","6,043893E-03"
"1372,686","1,40E-02","0,000024","3,532399E+00","6,043604E-03"
"1373,707","1,40E-02","0,000024","3,517216E+00","6,043872E-03"
"1374,72","1,39E-02","0,000024","3,496119E+00","6,044248E-03"
"1375,729","1,39E-02","0,000024","3,492303E+00","6,044316E-03"
"1376,728","1,38E-02","0,000024","3,484090E+00","6,044464E-03"
"1377,735","1,38E-02","0,000024","3,478878E+00","6,044559E-03"
"1378,733","1,38E-02","0,000024","3,484389E+00","6,044459E-03"
"1379,732","1,38E-02","0,000024","3,470632E+00","6,044708E-03"
"1380,736","1,38E-02","0,000024","3,479660E+00","6,044544E-03"
"1381,755","1,37E-02","0,000024","3,462574E+00","6,044855E-03"
"1382,765","1,37E-02","0,000024","3,451442E+00","6,045059E-03"
"1383,787","1,36E-02","0,000024","3,435676E+00","6,045351E-03"
"1384,792","1,36E-02","0,000024","3,437929E+00","6,045309E-03"
"1385,802","1,35E-02","0,000024","3,412707E+00","6,045780E-03"
"1386,816","1,35E-02","0,000024","3,401176E+00","6,045998E-03"
"1387,844","1,34E-02","0,000023","3,384887E+00","5,794379E-03"
"1388,865","1,34E-02","0,000023","3,377479E+00","5,794515E-03"
"1389,87","1,34E-02","0,000023","3,370729E+00","5,794639E-03"
"1390,882","1,34E-02","0,000023","3,375896E+00","5,794544E-03"
"1391,95","1,34E-02","0,000023","3,379344E+00","5,794481E-03"
"1393,002","1,33E-02","0,000023","3,351242E+00","5,795002E-03"
"1394,055","1,33E-02","0,000023","3,360502E+00","5,794829E-03"
"1395,069","1,33E-02","0,000023","3,344856E+00","5,795122E-03"
"1396,088","1,33E-02","0,000023","3,342286E+00","5,795170E-03"
"1397,09","1,33E-02","0,000023","3,346957E+00","5,795082E-03"
"1398,088","1,33E-02","0,000023","3,340674E+00","5,795200E-03"
"1399,098","1,32E-02","0,000023","3,318153E+00","5,795627E-03"
"1400,112","1,31E-02","0,000023","3,299895E+00","5,795978E-03"
"1401,119","1,31E-02","0,000023","3,293444E+00","5,796103E-03"
"1402,121","1,31E-02","0,000023","3,293955E+00","5,796093E-03"
"1403,139","1,31E-02","0,000023","3,295463E+00","5,796064E-03"
"1404,134","1,31E-02","0,000023","3,291026E+00","5,796150E-03"
"1405,137","1,30E-02","0,000023","3,270776E+00","5,796545E-03"
"1406,157","1,29E-02","0,000023","3,254203E+00","5,796873E-03"
"1407,172","1,29E-02","0,000023","3,239856E+00","5,797159E-03"
"1408,185","1,28E-02","0,000023","3,229394E+00","5,797369E-03"
"1409,182","1,29E-02","0,000023","3,239245E+00","5,797171E-03"
"1410,2","1,29E-02","0,000023","3,241294E+00","5,797130E-03"
"1411,212","1,29E-02","0,000023","3,243600E+00","5,797084E-03"
"1412,216","1,28E-02","0,000023","3,228537E+00","5,797387E-03"
"1413,239","1,27E-02","0,000023","3,205852E+00","5,797848E-03"
"1414,245","1,27E-02","0,000023","3,206876E+00","5,797827E-03"
"1415,244","1,27E-02","0,000023","3,200243E+00","5,797963E-03"
"1416,244","1,26E-02","0,000023","3,184916E+00","5,798279E-03"
"1417,256","1,27E-02","0,000023","3,193698E+00","5,798097E-03"
"1418,27","1,26E-02","0,000023","3,177601E+00","5,798431E-03"
"1419,29","1,26E-02","0,000023","3,164684E+00","5,798701E-03"
"1420,297","1,25E-02","0,000023","3,153313E+00","5,798941E-03"
"1421,311","1,25E-02","0,000022","3,143602E+00","5,547011E-03"
"1422,314","1,25E-02","0,000022","3,144462E+00","5,546993E-03"
